id,legacy_name,new_component_name,rationale
100ea177-91e8-4345-871c-6533f654f0d7,Aerospace Structural Components,Structural Composite (High-Strength/Lightweight),Identifies B2B composite for structural components with high-strength and lightweight functions.
4d0ce6e0-4b1f-4367-bd6a-cd66e879dc0b,Agricultural Films (Greenhouse/Mulch),Polymer Film Additive (Barrier/Durability),Shifts to B2B additive for polymer films enhancing barrier and durability.
66828ad3-86ce-4fe3-bad7-de9b9b2e4eb3,Air Mattresses,Inflatable Membrane (Puncture Resistance),Converts to B2B membrane for inflatables with puncture resistance function.
0af0ed33-4efc-4970-8ced-1efce47666cc,Air Purifier,Filtration Media (Adsorption/Efficiency),Focuses on B2B media for filtration enhancing adsorption and efficiency.
c701c066-7937-4d46-afe2-6e39ac1b99e8,Aircraft Lightweight Composites,Aircraft Panel Composite (Lightweight/Strength),Specifies B2B composite for aircraft panels with lightweight and strength properties.
b813a92d-2ff8-42cf-97d3-f540abb53b5b,Airport Runway Repair Materials,Asphalt Repair Compound (Durability/Reinforcement),Identifies B2B compound for asphalt repair providing durability and reinforcement.
e613e131-06a8-4866-b282-12188e99152a,Aluminum Beverage Can (Internal Liner),Can Liner Coating (Barrier/Corrosion),Shifts to B2B coating for can liners enhancing barrier and corrosion resistance.
ed6cfea7-4e74-464f-a660-7f9a2ea592f3,Antennas (Printed),Printed Antenna Ink (Conductive),Focuses on B2B ink for printed antennas providing conductivity.
8803efbb-3eb2-4aea-8639-a9a82dd0902d,Anti-Bacterial Hospital Surface Coating,Surface Coating (Anti-Microbial),Specifies B2B coating for surfaces with anti-microbial function.
052f9d96-aedb-4cad-90c5-38032a617f97,Anti-Corrosion Coatings (Machinery),Machinery Coating (Corrosion Resistance),Identifies B2B coating for machinery providing corrosion resistance.
60e3503f-2a1c-41e8-a2ab-3550dea22f8d,Anti-Corrosion Metal Paint,Metal Paint Additive (Corrosion Inhibition),Converts to B2B additive for metal paints inhibiting corrosion.
aa20e37d-005a-4a9e-8e1f-7848143703ae,Anti-Corrosion Undercoating,Underbody Coating (Corrosion Protection),Focuses on B2B coating for underbodies providing corrosion protection.
f8b82615-04e1-4ec6-8c1d-c49b21ac9d19,Anti-Graffiti Coatings,Surface Coating (Graffiti Resistance),Specifies B2B coating for surfaces resisting graffiti.
cc0bdcde-05cf-4622-8ef3-1d6e9e4a317f,Anti-Icing Coatings,Surface Coating (Ice Repellency),Identifies B2B coating for surfaces providing ice repellency.
0be47d55-176f-4431-9ab8-97ebbfd66b32,Anti-Static Coatings/Flooring (Manufacturing),Flooring Coating (ESD Protection),Shifts to B2B coating for flooring with ESD protection function.
a4a65798-a657-4dbe-ac76-a02d76c82d6e,Anti-Static Epoxy Garage Floor Coating,Epoxy Floor Coating (ESD),Focuses on B2B epoxy coating for floors providing ESD properties.
56c36c18-eced-4a19-b3ff-265df8bb94b6,Anti-Static Hospital Flooring,Hospital Floor Compound (ESD),Specifies B2B compound for hospital floors with ESD function.
d72555e3-c959-40b6-9622-e857b36b0a48,Aquaculture Nets/Cages,Netting Composite (Strength/Durability),Converts to B2B composite for netting enhancing strength and durability.
48001ad7-e743-4984-afb8-3023fe1be56b,Archery Bows/Arrows,Bow Limb Composite (Flexural Strength),Identifies B2B composite for bow limbs providing flexural strength.
55f773fd-4c05-4c4d-ba2e-832def10ed57,Area Rugs/Carpets,Carpet Backing Compound (Durability/Anti-Static),Shifts to B2B compound for carpet backing with durability and anti-static functions.
1858beb9-7b80-4b4a-810e-30b21ba4a725,Art Supplies (Pigments/Binders),Pigment Binder Additive (Conductivity/Dispersion),Focuses on B2B additive for pigment binders enhancing conductivity and dispersion.
50ae2827-4a25-4307-954e-1d600221f178,Artificial Muscles/Actuators (Non-Electrothermal),Actuator Material (Flexible/Conductive),Specifies B2B material for actuators with flexible and conductive properties.
0c545686-0639-447a-918b-758528397c52,Asphalt Sealant (Driveway),Asphalt Sealant Additive (Durability/Barrier),Identifies B2B additive for asphalt sealants providing durability and barrier functions.
99ea064c-06c0-40ec-8026-68db7c660cda,At-Home Cancer Screening Test,Diagnostic Sensor Film (Biosensing),Converts to B2B sensor film for diagnostics with biosensing function.
4c7a4ac3-7ef0-4910-87c7-980b151a2307,"Automotive Composite Body Panels (e.g., Bumper)",Body Panel Composite (Lightweight/Impact),Focuses on B2B composite for body panels with lightweight and impact resistance.
3ec939f5-917c-45ce-a795-d84086450284,Automotive Composite Lightweight Components,Lightweight Component Composite (Structural),Specifies B2B composite for lightweight automotive components with structural function.
7fda8e07-54c9-4b9b-835a-c82d09f1c026,Automotive Engine Lubricant,Lubricant Additive (Friction Reduction),Clarifies B2B additive for lubricants reducing friction.
1b01d53c-bbe7-4eee-a72e-966ae5435669,Automotive Fuel Rail Covers,Fuel Rail Cover Composite (Thermal/Strength),Identifies B2B composite for fuel rail covers with thermal and strength properties.
ff74f516-13d8-46f8-8401-77e97590c0d3,Automotive Interior Cabin HVAC Vents,HVAC Vent Composite (Lightweight/Durability),Shifts to B2B composite for HVAC vents emphasizing lightweight and durability.
dfd8c0a2-e80e-43b9-a80c-80844c6bbe7e,Backpacks,Backpack Fabric Coating (Waterproof/Strength),Focuses on B2B coating for backpack fabrics providing waterproofing and strength.
fc6f9482-9035-4a8a-9a14-944afed972cf,Ballistic Panels (Body Armor),Ballistic Panel Composite (Impact Resistance),Specifies B2B composite for ballistic panels with impact resistance.
4a602c55-31ef-46aa-9983-8472ac8705c3,Baseball Bat (Composite),Bat Barrel Composite (Strength/Vibration Dampening),Identifies B2B composite for bat barrels enhancing strength and vibration dampening.
a29698ff-698b-42b5-97bf-3fc7752f06b1,Bearings (Coatings/Composites),Bearing Coating (Wear Resistance),Converts to B2B coating for bearings providing wear resistance.
231e34f5-8f2e-4c10-89a4-a8472d1f0d6a,Bicycle Helmet,Helmet Shell Composite (Impact Absorption),Focuses on B2B composite for helmet shells with impact absorption function.
f354ccf3-ad2b-4fa2-b3f5-5656b585f931,Binoculars/Telescopes (Casings),Optical Device Casing (Lightweight/Durable),Specifies B2B casing for optical devices emphasizing lightweight and durability.
cd89ad87-4cd7-45c8-a9ef-54a43e95ad0e,Biocompatible Coatings for Medical Devices,Device Coating (Biocompatible/Adhesion),Identifies B2B coating for medical devices with biocompatible and adhesion properties.
a8195d6c-e9a5-4fba-bd65-05897a7a1248,Blast-Resistant Curtains/Liners,Protective Liner Fabric (Blast Resistance),Shifts to B2B fabric for protective liners providing blast resistance.
e6553930-ab87-49b9-9ded-3b578e3e9b8f,Blender / Food Processor,Small Appliance Motor Gasket (Wear-Resistant),Focuses on B2B gasket for small appliance motors with wear resistance.
40cfdf17-7982-4356-9221-b931e242e8b4,Bookbinding Materials,Binding Adhesive Additive (Strength/Flexibility),Specifies B2B additive for binding adhesives enhancing strength and flexibility.
600b1d24-aac5-4b18-8c71-f867c0c2945c,Brake Pads/Rotors,Brake Pad Composite (Friction/Thermal),Identifies B2B composite for brake pads with friction and thermal properties.
f16bb7de-4529-4187-8eeb-291bbc383f41,Camping Chairs/Tables,Furniture Frame Composite (Lightweight/Strength),Converts to B2B composite for furniture frames providing lightweight and strength.
2e640595-06af-4e6c-aea8-82a910a3d2b9,Canvas/Awnings,Canvas Fabric Coating (UV/Weather Resistance),Focuses on B2B coating for canvas fabrics enhancing UV and weather resistance.
3fc51cd4-7650-403b-b169-22c54abd98e9,Capacitors (Dielectric Material),Dielectric Additive (Capacitance Enhancement),Specifies B2B additive for dielectrics enhancing capacitance.
87533659-d5cd-44e0-9bbd-56ce72bb2c5f,Car Battery (12V Lead-Acid),Battery Electrode Additive (Conductivity),Identifies B2B additive for battery electrodes improving conductivity.
8ad0df58-3cd5-4057-9351-36db1b80aba3,Catalyst Support Structures (Textile),Catalyst Support Fabric (Porous/Conductive),Shifts to B2B fabric for catalyst supports with porous and conductive properties.
42f7f790-b784-41f7-bdaf-78b3260a4f40,Caulking Guns,Gun Barrel Composite (Durability),Focuses on B2B composite for gun barrels providing durability.
15da701e-fd73-4712-bd55-2f9d0bf0dcd8,Cement (General Additive),Cement Admixture (Strength Enhancement),Specifies B2B admixture for cement enhancing strength.
a020298f-c789-4671-9add-ddaa9ae41986,Chemical Protective Suits,Protective Suit Fabric (Barrier/Chemical Resistance),Identifies B2B fabric for protective suits with barrier and chemical resistance.
6c15d9fc-e747-49a6-8abb-74ef659cceba,Cleanroom Wipes,Wipe Fabric (Anti-Static/Absorbent),Converts to B2B fabric for wipes with anti-static and absorbent functions.
f81e8519-7ced-4b0b-a2ba-5654d519d636,Climbing Harness,Harness Webbing Composite (Tensile Strength),Focuses on B2B composite for harness webbing providing tensile strength.
be07d11a-007a-428f-8742-7480e4e25c5c,Clothes Dryer Drum,Dryer Drum Coating (Wear Resistance),Specifies B2B coating for dryer drums enhancing wear resistance.
8bbc8f99-22f1-491c-80e1-0aed4cd056be,Computer Mouse,Mouse Casing Composite (Ergonomic/Durable),Identifies B2B composite for mouse casings with ergonomic and durable properties.
6fdf046b-ef8c-4b38-9c96-9a1ccc25200d,Conductive Adhesives,Adhesive Additive (Conductivity),Shifts to B2B additive for adhesives providing conductivity.
5f46f51e-cf56-4e56-a95c-f24f4983b8ed,Conductive Seat Heaters,Seat Heater Element (Conductive Fabric),Focuses on B2B conductive fabric for seat heater elements.
34d4d2b2-80cd-49e8-8984-e8b2aa5dafe9,Contact Lens Cases,Lens Case Composite (Anti-Microbial),Specifies B2B composite for lens cases with anti-microbial function.
49313b22-71d9-477f-8ffc-480c4034d007,Conveyor Belts,Belt Composite (Abrasion Resistance),Identifies B2B composite for conveyor belts providing abrasion resistance.
639b4e25-09d1-46b6-8949-dd0983a6e36a,Cookware (Pots/Pans),Cookware Coating (Non-Stick/Thermal),Converts to B2B coating for cookware with non-stick and thermal properties.
cde0f984-7664-4596-9589-57f48a214ce2,Coolers/Insulated Boxes,Insulation Foam Additive (Thermal Efficiency),Focuses on B2B additive for insulation foams enhancing thermal efficiency.
fa7c24a4-6d30-42c9-ab20-3e6432b2976d,Cordless Stick Vacuum,Vacuum Housing Composite (Lightweight/Durable),Specifies B2B composite for vacuum housings with lightweight and durable properties.
f1a0bcec-9273-433d-a037-2a1a60cb23ca,Cosmetic Containers,Container Composite (Barrier/Lightweight),Identifies B2B composite for containers providing barrier and lightweight functions.
afe7651e-cc72-4617-a86a-afac5ac25b4d,"Covers for Electronic Devices (eReaders, etc.)",Device Cover Composite (Protective/Conductive),Shifts to B2B composite for device covers with protective and conductive properties.
acaa3d08-f75c-4b93-81a4-e17908a4a174,Crack Injection Resins (Concrete/Asphalt),Resin Additive (Adhesion/Strength),Focuses on B2B additive for resins enhancing adhesion and strength.
8e7a2dd8-eb79-4bc7-b4f6-ec76ceb4825c,Curtains/Blinds (Thermal),Fabric Coating (Thermal Insulation),Specifies B2B coating for fabrics providing thermal insulation.
c7f7eff4-1f9e-4fb0-96f0-cb7945e287aa,Cutlery (Knives),Blade Coating (Wear Resistance),Identifies B2B coating for blades enhancing wear resistance.
b32be0ec-494c-475f-8e7c-111e78f080f3,Cutting Tools (Industrial Coating),Tool Coating (Hardness/Durability),Converts to B2B coating for cutting tools providing hardness and durability.
db3b2ed9-b915-41a1-be4c-425b15f1231c,Data Center Server Casing,Server Casing Composite (Thermal/EMI Shielding),Focuses on B2B composite for server casings with thermal and EMI shielding functions.
8ccf2365-c1a8-4f98-80f5-a0c0f5a964ed,Defense Equipment Casings,Equipment Casing Composite (Impact/EMI),Specifies B2B composite for defense casings with impact and EMI protection.
4c6e60de-f2da-4fb1-82eb-9b347720a1ce,Dental Fillings (Composite),Filling Composite Additive (Strength/Biocompatible),Identifies B2B additive for dental composites enhancing strength and biocompatibility.
00b5b7ec-eb3c-44bc-b4fb-5ff90d1d3282,Desalination Membranes,Membrane Composite (Permeability/Fouling Resistance),Shifts to B2B composite for membranes with permeability and fouling resistance.
2ead394f-4103-4970-a18d-b35317439143,Desiccant Materials (Enhanced),Desiccant Additive (Adsorption Efficiency),Focuses on B2B additive for desiccants enhancing adsorption efficiency.
64eea5b1-9c47-4cb2-bd31-153c3161365d,Desk Lamps (LED),Lamp Heatsink (Thermal Conduction),Specifies B2B heatsink for lamps providing thermal conduction.
d68012d1-0463-4053-a1cd-f8eea760b7ca,Diaper Pails,Pail Liner Coating (Odor Barrier),Identifies B2B coating for pail liners with odor barrier function.
56a9efeb-7a69-4817-bf86-cbf8226278df,Doorknobs/Handles,Handle Coating (Anti-Microbial/Wear),Converts to B2B coating for handles providing anti-microbial and wear resistance.
6fa3534f-3ea3-4426-8f61-0ab31bf40401,Drill Bits/Saw Blades (Consumer Grade),Tool Bit Coating (Hardness),Focuses on B2B coating for tool bits enhancing hardness.
59de93dd-2192-49a5-ae53-080e5204db43,Drink Coasters,Coaster Composite (Absorbent/Thermal),Specifies B2B composite for coasters with absorbent and thermal properties.
63ca0764-5e18-409b-9bc2-e53bba14dab2,Drone Body/Propellers,Drone Frame Composite (Lightweight/Strength),Identifies B2B composite for drone frames providing lightweight and strength.
459c8ee9-098d-4749-adb5-26842f3a17c4,Drug Delivery Systems,Delivery Membrane (Controlled Release),Shifts to B2B membrane for drug delivery with controlled release function.
d1aa7563-01f5-4d4d-86b7-8976b01fd210,E-Bike Battery Pack,Battery Pack Enclosure (Composite/Thermal),Focuses on B2B enclosure for battery packs with composite and thermal properties.
3beaa230-bf67-4b4b-b8f0-64e7a39ad451,Electric Stand Mixer,Mixer Gear Housing (Wear-Resistant),Specifies B2B housing for mixer gears with wear resistance.
d04d5a3f-112f-4466-b73a-be233bd0763b,Electric Vehicle Battery Enclosure,EV Battery Enclosure (Composite/EMI Shielding),Enhances specificity with B2B composite enclosure providing EMI shielding.
20beab9d-9ca7-46f0-9e36-2bae1c86709e,Electrical Conduit (Plastic),Conduit Compound (ESD/Strength),Identifies B2B compound for conduits with ESD and strength properties.
0b71c135-16a7-4c05-ad37-33790e6e3437,Emergency Escape Hoods/Masks,Mask Filter Membrane (Filtration/Thermal),Converts to B2B membrane for masks providing filtration and thermal resistance.
f1298753-6b18-43f8-b6a3-6cab366ad408,EMI Shielding (Aerospace/Defense),Shielding Coating (EMI Protection),Focuses on B2B coating for EMI shielding in aerospace and defense.
0ccccf87-7b17-4527-ae12-f1a586af5c21,EMI Shielding Fabrics/Tapes,Shielding Fabric (EMI Absorption),Specifies B2B fabric for EMI shielding with absorption function.
3574f139-6031-47d7-9dc9-74e75c327418,EMI-Shielded USB/HDMI Cable,Cable Shielding Compound (EMI Protection),Identifies B2B compound for cable shielding providing EMI protection.
0a936b9e-e250-45f7-9c97-70fb4785f2df,Engine Air Filters/Cabin Air Filters,Filter Media (Filtration Efficiency),Shifts to B2B media for filters enhancing filtration efficiency.
508fca42-7eaf-424b-802f-95ef32d3fd22,Environmental Remediation Sorbents,Sorbent Additive (Adsorption Capacity),Focuses on B2B additive for sorbents increasing adsorption capacity.
8eb40767-365c-4e9c-bb07-7452ad93e7d8,EV Thermal Management Actuator,Actuator Component (Thermal Control),Specifies B2B component for EV actuators with thermal control function.
ee072959-cad4-413b-9f7f-9b4c07a1391b,Exhaust System Components (Coatings),Exhaust Coating (Corrosion/Thermal),Identifies B2B coating for exhaust components providing corrosion and thermal resistance.
09f5c0b6-7680-4a44-b01a-effbc5b0aacb,Fertilizer Coatings (Controlled Release),Fertilizer Coating (Release Control),Converts to B2B coating for fertilizers controlling release.
cbdfc5a0-fb58-405b-be4f-b8c9ee2a49fe,Fire-Retardant Paint,Paint Additive (Flame Retardancy),Focuses on B2B additive for paints providing flame retardancy.
fb90051d-2edc-403c-a066-16b30f05a0e5,Firefighter Turnout Gear,Protective Fabric (Thermal/Flame Resistance),Specifies B2B fabric for protective gear with thermal and flame resistance.
d3a3cfb3-c513-4288-a5db-ffc92d88cbe7,Fishing Lures,Lure Body Composite (Durability),Identifies B2B composite for lure bodies providing durability.
467d38a7-f8e9-416a-ad53-9a561d78d1a8,Fishing Rod,Rod Blank Composite (Flexural Strength),Shifts to B2B composite for rod blanks enhancing flexural strength.
3984124a-760b-4d1e-9a26-8cd56152d6de,Flashlights/Headlamps,Lamp Housing Composite (Impact Resistance),Focuses on B2B composite for lamp housings providing impact resistance.
a5f92bf8-f074-461f-8a57-8756d8c55f2f,Flexible Food Packaging Films,Packaging Film Additive (Barrier/Flexibility),Specifies B2B additive for packaging films enhancing barrier and flexibility.
4f207f5d-21b4-4152-8e5e-301e64ea4443,Flexible Heaters,Heater Film (Conductive/Flexible),Identifies B2B film for heaters with conductive and flexible properties.
8da3d944-e037-43c8-860a-31264dfce5f5,Flexible Solar Panel,Solar Panel Substrate (Flexible/Conductive),Converts to B2B substrate for solar panels providing flexibility and conductivity.
ca507b9a-5ba2-4f5e-87f4-a5b810fe335a,Flexible/Bendable Smartphone Display,Display Substrate Film (Flexible/Conductive),Focuses on B2B film for display substrates with flexible and conductive functions.
5363a70a-b851-4277-bc26-36644958c771,Food Storage Container,Container Compound (Barrier/Durability),Specifies B2B compound for containers enhancing barrier and durability.
3e35e087-d652-47b5-a275-9bd4e3be6f37,Fuel Cell Components (Membranes/Electrodes),Fuel Cell Membrane Additive (Conductivity),Identifies B2B additive for fuel cell membranes improving conductivity.
4501cf81-b36e-4a90-91e2-c0cdfdadd5a7,Fuel Lines/Hoses,Hose Compound (Barrier/Strength),Shifts to B2B compound for hoses providing barrier and strength.
0bd48a0c-4cf4-4ee8-84d3-fea84568e953,Gaming Console,Console Casing Composite (Thermal/EMI),Focuses on B2B composite for console casings with thermal and EMI functions.
49b156e1-f29b-45b2-bef6-323c5efb6085,Gas Separation Membranes,Separation Membrane (Selectivity/Permeability),Specifies B2B membrane for gas separation with selectivity and permeability.
93f475ec-32ca-404c-83d9-1738eb10996f,Geotextiles (Civil Engineering),Geotextile Fabric (Reinforcement/Drainage),Identifies B2B fabric for geotextiles providing reinforcement and drainage.
77fcf08a-380e-43fc-84d8-388be3015cc0,Geothermal Piping,Pipe Compound (Thermal/Corrosion Resistance),Converts to B2B compound for pipes with thermal and corrosion resistance.
c09e7345-203e-4f36-b43a-ee262811590e,Golf Club (Driver),Club Shaft Composite (Flexural Strength),Focuses on B2B composite for club shafts enhancing flexural strength.
f64d039a-f00f-4641-86d0-f00b446c9774,Graphene-Coated Fabrics (General),Fabric Coating (Conductive/Durable),Specifies B2B coating for fabrics providing conductive and durable properties.
8d53fb15-6ce8-400b-b138-dfb246045e61,Graphene-Enhanced Cutting Fluids,Cutting Fluid Additive (Lubrication/Thermal),Identifies B2B additive for cutting fluids enhancing lubrication and thermal properties.
9c9779a9-3e34-472a-9f82-47b13bcbc265,Grid-Scale Battery Components (Non-Electrode),Battery Separator Membrane (Conductivity/Safety),Shifts to B2B membrane for battery separators with conductivity and safety functions.
ad86e8cd-0621-4edd-88aa-34a7494385bb,Grid-Scale Supercapacitors,Supercapacitor Electrode Additive (Capacitance),Focuses on B2B additive for supercapacitor electrodes enhancing capacitance.
9622df5e-6c3e-4505-938b-44dc48940d57,Hard Drives and Memories,Storage Device Coating (Thermal/EMI),Specifies B2B coating for storage devices with thermal and EMI properties.
1c9ec0bf-6103-4921-99f0-5d55ba23b29e,Headlight/Taillight Housings,Light Housing Composite (Impact/Thermal),Identifies B2B composite for light housings providing impact and thermal resistance.
5e735c47-4597-4203-896c-2c289b08a282,Hearing Aids,Aid Casing Composite (Lightweight/Conductive),Converts to B2B composite for hearing aid casings with lightweight and conductive properties.
1f2a78f4-1490-4df0-af68-07d4de448ea0,Heated Gloves / Boots,Heating Element Fabric (Conductive/Thermal),Focuses on B2B fabric for heating elements providing conductive and thermal functions.
654b483c-2fb1-47cc-821b-4989018bfee7,High-Barrier PET Juice/Beer Bottle,PET Bottle Compound (Barrier Enhancement),Specifies B2B compound for PET bottles enhancing barrier properties.
062644ac-2756-4e12-962a-471316147818,High-End Audio Cables,Cable Conductor Coating (Conductivity),Identifies B2B coating for cable conductors improving conductivity.
7808dcdf-6950-4d3a-9c63-ad0982b1a4e8,High-End Coffee / Espresso Machine,Machine Boiler Coating (Thermal Efficiency),Shifts to B2B coating for machine boilers enhancing thermal efficiency.
379eea34-9a02-4873-983e-4c90fffbf444,High-Frequency Transistors,Transistor Gate Material (Conductivity),Focuses on B2B material for transistor gates providing conductivity.
99e83c49-5732-433d-b00c-fa773cef69b8,High-Performance Cement Grout,Grout Admixture (Strength/Flowability),Specifies B2B admixture for grouts enhancing strength and flowability.
8bca3a25-3037-4a0f-aeb6-6a32f7010e1e,High-Voltage Insulators (Ceramic/Polymer),Insulator Coating (Dielectric Strength),Identifies B2B coating for insulators providing dielectric strength.
2af24d97-c236-4615-ab9b-8194a65fd7a7,Hockey Stick,Stick Shaft Composite (Flexural Strength),Converts to B2B composite for stick shafts enhancing flexural strength.
d3d1f9fa-dbd0-4895-aef0-88c32f1b5b12,Hot Press Dies,Die Coating (Thermal/Wear Resistance),Focuses on B2B coating for dies providing thermal and wear resistance.
693d7270-8aef-402b-becb-b422f608fad6,Hydrogen Production Catalysts,Catalyst Additive (Efficiency/Durability),Specifies B2B additive for catalysts enhancing efficiency and durability.
f5f5ba2b-09c9-4288-b8ce-1b2cbbb935d9,Hydrogen Storage Tanks (Composite),Tank Liner Composite (Barrier/Strength),Identifies B2B composite for tank liners providing barrier and strength.
f2daa46c-d163-4e1a-95d6-ab9483956e28,Hydroponic System Components,System Pipe Compound (Corrosion Resistance),Shifts to B2B compound for system pipes providing corrosion resistance.
1a625658-7b78-4908-ada1-340e9438e651,Inductors (Core Material/Shielding),Inductor Core Additive (Magnetic Permeability),Focuses on B2B additive for inductor cores enhancing magnetic permeability.
b33fdc39-8339-4ff0-8450-3777c0f9965d,Industrial Air Filters,Filter Media (Efficiency/Durability),Specifies B2B media for industrial filters enhancing efficiency and durability.
8a81218b-fa9a-43f3-8fc6-655ccbab7713,Industrial Chemical Containers,Container Liner Coating (Chemical Resistance),Identifies B2B coating for container liners providing chemical resistance.
dcffe719-93ab-4479-a7e1-87ba1304ef4f,Industrial Gaskets & Seals,Gasket Compound (Sealing/Durability),Converts to B2B compound for gaskets enhancing sealing and durability.
e1cbd66a-3e8d-4f5e-b73f-c0437e8caf52,Industrial Hoses (Chemical/Abrasion Resistant),Hose Compound (Abrasion/Chemical Resistance),Focuses on B2B compound for hoses providing abrasion and chemical resistance.
20f00e40-0578-42cc-8f56-4c7e802d8b32,Industrial Lubricant,Lubricant Additive (Friction Reduction),Specifies B2B additive for industrial lubricants reducing friction.
8db2146c-73be-40ee-8aff-51ee3e715186,Industrial Protective Textiles,Protective Fabric (Abrasion Resistance),Identifies B2B fabric for protective textiles providing abrasion resistance.
53b6bdda-b0ae-485b-884d-00c9db5bb277,Inflatable Kayaks/Paddleboards,Inflatable Hull Composite (Puncture Resistance),Shifts to B2B composite for inflatable hulls with puncture resistance.
b27b7f8b-a4af-4156-9362-9f874889509f,Insulated Window Frames,Frame Compound (Thermal Insulation),Focuses on B2B compound for window frames providing thermal insulation.
b66aeffc-e857-45bf-8029-ada2aa769f76,Interior Trim Components (High Wear Areas),Trim Composite (Wear Resistance),Specifies B2B composite for interior trim with wear resistance.
c77127a6-10f8-42ea-8a40-5298d100c712,Ironing Board Cover,Cover Fabric Coating (Thermal Resistance),Identifies B2B coating for cover fabrics providing thermal resistance.
2d950422-9882-44a1-a475-7a2c1605ba82,Irrigation Pipes/Drip Emitters,Pipe Compound (Durability/Barrier),Converts to B2B compound for irrigation pipes enhancing durability and barrier.
78e18b23-4485-49a1-8861-f3ad0780b961,Kayak / Canoe,Hull Composite (Impact Resistance),Focuses on B2B composite for hulls providing impact resistance.
3701ebc3-b486-4435-98d2-51fc46fc07b9,Keyboard Components,Key Switch Composite (Durability/Conductive),Specifies B2B composite for key switches with durability and conductive properties.
1be53122-1e12-45c0-a81a-6b854f345470,Keychains,Keychain Composite (Strength/Durability),Identifies B2B composite for keychains providing strength and durability.
6a39c1ec-3be8-4499-af26-e25df056d173,Laptop Casing,Laptop Enclosure Composite (Lightweight/Thermal),Shifts to B2B composite for laptop enclosures with lightweight and thermal properties.
a884364a-56fc-4c63-b7fc-e2500e88029d,Laptop/Tablet Stand,Stand Composite (Strength/Stability),Focuses on B2B composite for stands providing strength and stability.
ffec8cd6-6ecd-4f12-95a0-72d880301e7d,Levels (Tool),Tool Body Composite (Durability),Specifies B2B composite for tool bodies enhancing durability.
9c01b90b-7764-424c-a3c5-aad1ceb63de5,Light Bulbs (LED Heat Sinks),LED Heatsink (Thermal Conduction),Identifies B2B heatsink for LEDs providing thermal conduction.
8d04ebf6-87fd-4c99-9b14-b957380c2b50,Lightweight Composite Decking,Decking Composite (Lightweight/Durability),Converts to B2B composite for decking with lightweight and durability.
bb0cdd73-52cd-4890-a137-40c65443e211,Lightweight Composite Siding,Siding Composite (Lightweight/Weather Resistance),Focuses on B2B composite for siding providing lightweight and weather resistance.
6311315c-a5b3-4bec-8015-a20d037eb5fe,Lightweight PET Water/Soda Bottle,PET Bottle Compound (Lightweight/Barrier),Specifies B2B compound for PET bottles enhancing lightweight and barrier properties.
88d37c17-317e-4e4d-bb4b-4867efbffe72,Lightweight Pre-Cast Concrete Panels,Concrete Panel Admixture (Lightweight/Strength),Identifies B2B admixture for concrete panels providing lightweight and strength.
